region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	1	Galium circaezans	Rubiaceae	0	1	3	3	2	0	2	4	1	1	1	1											3
1	1	1	Galium concinnum	Rubiaceae	0	1	3	3	1	1	2	1	1	1	1												2
1	1	1	Galium obtusum	Rubiaceae	0	8	3	3	1	0	2	1	1								1						1
1	1	1	Galium tinctorium	Rubiaceae	0	8	3	3	2	1	2	1	1								1						1
1	1	1	Galium trifidum	Rubiaceae	0	8	3	3	2	1	2	1	1								1			1			2
1	0	0	Galium triflorum	Rubiaceae	0	1	3	3	1	1	2	4	1	1	1												2
1	0	0	Gamochaeta purpurea	Asteraceae	0	1	5	"1,2"	3	0	2	2	1						1						1		2
1	1	1	Gaura biennis	Onagraceae	0	1	3	2	1	0	2	1	1					1							1		2
1	1	0	Gaura mollis	Onagraceae	1	1	3	1	1	0	2	1	1	1	1			1		1			1	1			6
1	1	0	Gentiana andrewsii	Gentianaceae	0	1	3	3	1	0	2	1	1		1				1		1						3
1	0	0	Gentiana saponaria	Gentianaceae	0	1	3	3	2	0	2	1	1		1	1											2
1	1	0	Gentianella quinquefolia	Gentianaceae	0	1	5	"1,2"	1	0	2	1	1		1				1		1						3
1	0	0	Gentianopsis virgata	Gentianaceae	0	1	3	1	1	0	2	1	1					1			1			1			3
1	1	1	Geranium carolinianum	Geraniaceae	0	1	5	"1,2"	1	0	2	1	1	1		1			1						1		4
1	1	1	Geranium maculatum	Geraniaceae	0	1	4	3	3	0	2	1	1	1	1												2
1	0	1	Geranium robertianum	Geraniaceae	1	1	5	"1,2"	1	0	2	1	1	1	1												2
1	1	1	Geum canadense	Rosaceae	0	1	3	3	1	0	2	2	1	1	1												2
1	1	1	Geum laciniatum	Rosaceae	0	1	3	3	1	0	2	2	1								1						1
1	1	1	Geum vernum	Rosaceae	0	1	3	3	1	0	2	2	1	1	1												2
1	0	1	Glechoma hederacea	Lamiaceae	1	1	3	3	2	0	2	4	1	1	1												2
1	1	1	Gleditsia triacanthos	Fabaceae	0	5	1	3	1	1	2	1	1	1	1										1		3
1	1	0	Glyceria septentrionalis	Poaceae	0	3	3	3	1	0	2	1	0								1						1
